lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
37.93,-75.47,63.85,16.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:35:15.018687,673.11,16_wal
38.86,-99.39,48.92,15.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:34:38.170977,636.26,16_fhe
38.86,-99.39,48.92,15.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:34:25.564371,623.65,16_fhw
43.27,-120.36,44.86,13.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:34:52.727765,650.82,16_cve
43.27,-120.36,44.86,13.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:35:04.652681,662.74,16_cvw
53.32,-60.46,78.91,17.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:33:18.638953,556.73,16_gbr
52.16,-106.53,56.58,14.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:34:51.619507,649.71,16_sas
53.98,-122.59,54.98,13.6,5.9074e-05,2011-09-24 20:36:00,2011-09-24 20:24:01.910000,2011-09-24 20:30:21.075586,379.17,16_pgr
49.39,-82.32,106.75,21.83,5.39115e-05,2011-09-06 01:50:00,2011-09-06 01:41:03.010000,2011-09-06 01:42:03.010337,60.0,18_kap
37.93,-75.47,46.16,13.47,4.46567e-05,2011-03-08 18:28:00,2011-03-08 18:11:55.783000,2011-03-08 18:12:36.583864,40.8,19_wal
37.1,-77.95,44.58,13.47,4.46567e-05,2011-03-08 18:28:00,2011-03-08 18:11:55.783000,2011-03-08 18:13:33.629956,97.85,19_bks
43.27,-120.36,53.51,10.47,4.46567e-05,2011-03-08 18:28:00,2011-03-08 18:11:55.783000,2011-03-08 18:13:09.108596,73.33,19_cve
43.27,-120.36,53.51,10.47,4.46567e-05,2011-03-08 18:28:00,2011-03-08 18:11:55.783000,2011-03-08 18:17:55.959665,360.18,19_cvw
38.86,-99.39,74.2,17.02,4.341850000000001e-05,2011-11-02 22:01:00,2011-11-02 21:55:56.907000,2011-11-02 21:57:15.897699,78.99,21_fhw
43.27,-120.36,65.9,15.02,4.341850000000001e-05,2011-11-02 22:01:00,2011-11-02 21:55:56.907000,2011-11-02 22:00:01.468044,244.56,21_cve
52.16,-106.53,78.64,16.02,4.341850000000001e-05,2011-11-02 22:01:00,2011-11-02 21:55:56.907000,2011-11-02 21:59:30.400624,213.49,21_sas
