lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
62.82,-92.11,100.81,19.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:12:37,756.47,54_rank
50.02,-96.04,100.2,19.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:04:32,271.47,54_pina
56.38,-94.64,100.45,19.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:08:57,536.47,54_gill
64.05,-139.11,80.79,17.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:03:47,226.47,54_daws
61.76,-121.23,87.11,18.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:13:22,801.47,54_fsim
60.02,-111.95,91.4,18.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:13:22,801.47,54_fsmi
58.22,-103.68,95.49,19.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:11:17,676.47,54_rabb
53.86,-94.66,100.71,19.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:09:52,591.47,54_isll
56.66,-111.21,91.34,18.23,0.000137341,2012-03-07 01:14:00,2012-03-07 01:00:00.527000,2012-03-07 01:07:32,451.47,54_mcmu
69.54,-93.55,112.59,21.15,0.000114173,2012-03-05 04:09:00,2012-03-05 03:29:00.187000,2012-03-05 04:06:48,2267.81,55_talo
56.38,-94.64,122.38,22.15,0.00011417299999999999,2012-03-05 04:09:00,2012-03-05 03:29:00.187000,2012-03-05 04:06:43,2262.81,55_gill
61.76,-121.23,108.23,21.15,0.000114173,2012-03-05 04:09:00,2012-03-05 03:29:00.187000,2012-03-05 03:52:53,1432.81,55_fsim
