lat,lon,sza,lt,fmax,event,dt,pk
61.76,-121.23,67.7,19.18,0.00032464099999999997,2013-05-14 01:11:00,-338,101_fsim
60.02,-111.95,72.27,19.18,0.000324641,2013-05-14 01:11:00,-298,101_fsmi
56.66,-111.21,73.1,19.18,0.00032464099999999997,2013-05-14 01:11:00,-292,101_mcmu
69.54,-93.55,54.48,10.08,0.000288461,2013-05-13 16:05:00,360,102_talo
50.02,-96.04,41.45,11.08,0.000288461,2013-05-13 16:05:00,-184,102_pina
56.38,-94.64,44.95,11.08,0.000288461,2013-05-13 16:05:00,360,102_gill
64.05,-139.11,67.66,9.08,0.000288461,2013-05-13 16:05:00,232,102_daws
61.76,-121.23,59.27,10.08,0.000288461,2013-05-13 16:05:00,-138,102_fsim
60.02,-111.95,54.44,10.08,0.000288461,2013-05-13 16:05:00,-96,102_fsmi
56.66,-111.21,52.6,10.08,0.000288461,2013-05-13 16:05:00,-112,102_mcmu
69.54,-93.55,92.73,15.9,0.000235325,2013-10-29 21:54:00,360,103_talo
50.02,-96.04,80.57,16.9,0.000235325,2013-10-29 21:54:00,36,103_pina
56.38,-94.64,84.8,16.9,0.000235325,2013-10-29 21:54:00,-26,103_gill
64.05,-139.11,78.39,14.9,0.000235325,2013-10-29 21:54:00,-358,103_daws
61.76,-121.23,79.35,15.9,0.000235325,2013-10-29 21:54:00,-2,103_fsim
58.22,-103.68,82.16,15.9,0.000235325,2013-10-29 21:54:00,-240,103_rabb
56.66,-111.21,78.25,15.9,0.000235325,2013-10-29 21:54:00,122,103_mcmu
69.54,-93.55,87.07,9.05,0.000214171,2013-10-25 15:03:00,-206,104_talo
50.02,-96.04,74.24,10.05,0.00021417099999999998,2013-10-25 15:03:00,-206,104_pina
56.38,-94.64,78.04,10.05,0.000214171,2013-10-25 15:03:00,360,104_gill
58.22,-103.68,82.88,9.05,0.00021417099999999998,2013-10-25 15:03:00,360,104_rabb
56.38,-94.64,89.73,21.28,0.000175473,2013-05-13 02:17:00,-230,105_gill
64.05,-139.11,67.4,19.28,0.000175473,2013-05-13 02:17:00,-68,105_daws
61.76,-121.23,75.63,20.28,0.000175473,2013-05-13 02:17:00,-360,105_fsim
50.02,-96.04,135.67,3.02,0.00017580799999999998,2013-10-25 08:01:00,186,106_pina
56.38,-94.64,130.28,3.02,0.00017580799999999998,2013-10-25 08:01:00,-360,106_gill
61.76,-121.23,130.38,2.02,0.00017580799999999998,2013-10-25 08:01:00,-220,106_fsim
58.22,-103.68,131.42,2.02,0.00017580799999999998,2013-10-25 08:01:00,90,106_rabb
56.38,-94.64,86.23,20.8,0.00012945,2013-05-15 01:48:00,-6,107_gill
64.05,-139.11,63.83,18.8,0.00012945,2013-05-15 01:48:00,360,107_daws
61.76,-121.23,71.84,19.8,0.00012945,2013-05-15 01:48:00,-172,107_fsim
60.02,-111.95,76.58,19.8,0.00012945,2013-05-15 01:48:00,360,107_fsmi
50.02,-96.04,140.79,22.43,0.00012223100000000002,2013-11-08 04:26:00,360,108_pina
56.38,-94.64,136.25,22.43,0.00012223100000000002,2013-11-08 04:26:00,-82,108_gill
64.05,-139.11,114.23,20.43,0.00012223100000000002,2013-11-08 04:26:00,-310,108_daws
61.76,-121.23,122.63,21.43,0.00012223100000000002,2013-11-08 04:26:00,276,108_fsim
58.22,-103.68,131.73,22.43,0.00012223100000000002,2013-11-08 04:26:00,360,108_rabb
69.54,-93.55,127.2,22.23,0.000114341,2013-11-10 05:14:00,280,109_talo
56.38,-94.64,139.75,23.23,0.00011434100000000001,2013-11-10 05:14:00,-170,109_gill
60.02,-111.95,132.2,22.23,0.000114341,2013-11-10 05:14:00,-360,109_fsmi
56.66,-111.21,135.03,22.23,0.00011434100000000001,2013-11-10 05:14:00,208,109_mcmu
69.54,-93.55,112.91,20.05,0.000102546,2013-10-28 02:03:00,360,110_talo
56.38,-94.64,117.39,21.05,0.000102546,2013-10-28 02:03:00,-244,110_gill
64.05,-139.11,95.67,19.05,0.000102546,2013-10-28 02:03:00,-180,110_daws
50.02,-96.04,98.91,18.82,0.000497943,2014-02-25 00:49:00,-360,150_pina
56.38,-94.64,100.04,18.82,0.000497943,2014-02-25 00:49:00,60,150_gill
64.05,-139.11,82.14,16.82,0.000497943,2014-02-25 00:49:00,-300,150_daws
61.76,-121.23,87.65,17.82,0.000497943,2014-02-25 00:49:00,360,150_fsim
60.02,-111.95,91.58,17.82,0.000497943,2014-02-25 00:49:00,360,150_fsmi
62.82,-92.11,86.44,16.68,0.00031952,2014-10-24 21:41:00,328,151_rank
64.05,-139.11,76.34,14.68,0.00031952,2014-10-24 21:41:00,-360,151_daws
58.22,-103.68,79.27,15.68,0.00031952,2014-10-24 21:41:00,340,151_rabb
69.54,-93.55,71.16,5.7,0.000228861,2014-06-10 11:42:00,-294,152_talo
62.82,-92.11,72.46,6.7,0.000228861,2014-06-10 11:42:00,-230,152_rank
50.02,-96.04,78.8,6.7,0.000228861,2014-06-10 11:42:00,-288,152_pina
56.38,-94.64,75.7,6.7,0.000228861,2014-06-10 11:42:00,-212,152_gill
64.05,-139.11,88.09,4.7,0.000228861,2014-06-10 11:42:00,-212,152_daws
61.76,-121.23,84.62,5.7,0.000228861,2014-06-10 11:42:00,-216,152_fsim
58.22,-103.68,79.41,5.7,0.000228861,2014-06-10 11:42:00,-50,152_rabb
58.22,-103.68,114.0,4.93,0.000201076,2014-10-26 10:56:00,360,153_rabb
58.22,-103.68,85.06,8.78,0.000206868,2014-10-27 14:47:00,216,154_rabb
56.38,-94.64,51.95,12.75,0.000166743,2014-09-10 17:45:00,-360,156_gill
64.05,-139.11,69.92,10.75,0.00016674299999999999,2014-09-10 17:45:00,-360,156_daws
58.22,-103.68,54.99,11.75,0.000166743,2014-09-10 17:45:00,-360,156_rabb
64.05,-139.11,103.62,7.47,0.00016665900000000002,2014-10-22 14:28:00,-184,157_daws
61.76,-121.23,95.32,8.47,0.00016665900000000002,2014-10-22 14:28:00,-320,157_fsim
58.22,-103.68,85.71,8.47,0.00016665900000000002,2014-10-22 14:28:00,-360,157_rabb
62.82,-92.11,79.3,11.43,0.000162231,2014-11-07 17:26:00,-6,158_rank
56.38,-94.64,73.12,11.43,0.000162231,2014-11-07 17:26:00,-352,158_gill
64.05,-139.11,89.74,9.43,0.000162231,2014-11-07 17:26:00,-346,158_daws
58.22,-103.68,76.04,11.43,0.000162231,2014-11-07 17:26:00,318,158_rabb
56.66,-111.21,76.08,10.43,0.000162231,2014-11-07 17:26:00,312,158_mcmu
69.54,-93.55,65.13,6.87,0.000154885,2014-06-10 12:52:00,68,159_talo
62.82,-92.11,64.6,7.87,0.000154885,2014-06-10 12:52:00,6,159_rank
50.02,-96.04,68.07,7.87,0.000154885,2014-06-10 12:52:00,-24,159_pina
56.38,-94.64,66.32,7.87,0.000154885,2014-06-10 12:52:00,-360,159_gill
64.05,-139.11,83.26,5.87,0.000154885,2014-06-10 12:52:00,-274,159_daws
61.76,-121.23,77.84,6.87,0.000154885,2014-06-10 12:52:00,-2,159_fsim
60.02,-111.95,74.38,6.87,0.000154885,2014-06-10 12:52:00,360,159_fsmi
58.22,-103.68,70.81,6.87,0.000154885,2014-06-10 12:52:00,-360,159_rabb
62.82,-92.11,85.03,12.53,0.000125085,2014-01-07 18:32:00,-290,161_rank
50.02,-96.04,72.28,12.53,0.000125085,2014-01-07 18:32:00,-270,161_pina
56.38,-94.64,78.62,12.53,0.000125085,2014-01-07 18:32:00,-64,161_gill
64.05,-139.11,92.51,10.53,0.000125085,2014-01-07 18:32:00,288,161_daws
61.76,-121.23,86.19,11.53,0.000125085,2014-01-07 18:32:00,-360,161_fsim
58.22,-103.68,80.66,12.53,0.000125085,2014-01-07 18:32:00,360,161_rabb
62.82,-92.11,126.35,0.05,0.000110185,2014-10-19 05:03:00,-206,162_rank
64.05,-139.11,111.92,22.05,0.000110185,2014-10-19 05:03:00,328,162_daws
69.54,-93.55,66.15,11.8,0.000101833,2014-03-29 17:48:00,-360,163_talo
62.82,-92.11,59.43,12.8,0.000101833,2014-03-29 17:48:00,-348,163_rank
50.02,-96.04,47.25,12.8,0.000101833,2014-03-29 17:48:00,-298,163_pina
56.38,-94.64,53.28,12.8,0.000101833,2014-03-29 17:48:00,-2,163_gill
64.05,-139.11,71.49,10.8,0.000101833,2014-03-29 17:48:00,-20,163_daws
61.76,-121.23,63.9,11.8,0.000101833,2014-03-29 17:48:00,-160,163_fsim
58.22,-103.68,56.41,11.8,0.000101833,2014-03-29 17:48:00,-38,163_rabb
56.66,-111.21,56.79,11.8,0.000101833,2014-03-29 17:48:00,360,163_mcmu
56.38,-94.64,93.0,4.1,0.00010397399999999999,2014-06-11 09:06:00,-30,164_gill
64.05,-139.11,92.84,2.1,0.000103974,2014-06-11 09:06:00,360,164_daws
56.66,-111.21,97.43,3.1,0.00010397399999999999,2014-06-11 09:06:00,350,164_mcmu
62.82,-92.11,75.5,12.13,0.000104393,2014-10-25 17:08:00,-46,165_rank
61.76,-121.23,80.34,11.13,0.00010439299999999999,2014-10-25 17:08:00,360,165_fsim
58.22,-103.68,72.81,11.13,0.000104393,2014-10-25 17:08:00,-360,165_rabb
56.66,-111.21,73.27,11.13,0.00010439299999999999,2014-10-25 17:08:00,288,165_mcmu
56.38,-94.64,59.4,17.18,0.000278556,2015-05-05 22:11:00,-2,200_gill
64.05,-139.11,48.7,15.18,0.000278556,2015-05-05 22:11:00,360,200_daws
56.66,-111.21,51.3,16.18,0.000278556,2015-05-05 22:11:00,360,200_mcmu
62.82,-92.11,69.99,11.37,0.00022181,2015-03-11 16:22:00,168,201_rank
56.38,-94.64,65.3,11.37,0.00022181,2015-03-11 16:22:00,-350,201_gill
64.05,-139.11,87.05,9.37,0.00022181,2015-03-11 16:22:00,2,201_daws
61.76,-121.23,78.83,10.37,0.00022181,2015-03-11 16:22:00,360,201_fsim
60.02,-111.95,74.15,10.37,0.00022181,2015-03-11 16:22:00,360,201_fsmi
56.66,-111.21,71.76,10.37,0.00022181,2015-03-11 16:22:00,186,201_mcmu
62.82,-92.11,84.81,7.03,0.000941922,2017-09-06 12:02:00,48,250_rank
50.02,-96.04,88.16,7.03,0.000941922,2017-09-06 12:02:00,170,250_pina
