date,Cls,start_time,max_time,end_time
2013-10-09,M2.8,2013-10-09 01:23,2013-10-09 01:48,2013-10-09 01:56
2013-10-28,M2.8,2013-10-28 14:00,2013-10-28 14:05,2013-10-28 14:12
2013-10-23,M2.7,2013-10-23 20:41,2013-10-23 20:53,2013-10-23 20:59
2013-10-28,M2.7,2013-10-28 14:46,2013-10-28 15:01,2013-10-28 15:04
2013-10-24,M2.5,2013-10-24 09:59,2013-10-24 10:09,2013-10-24 10:17
2013-11-05,M2.5,2013-11-05 08:12,2013-11-05 08:18,2013-11-05 08:21
2013-11-07,M2.4,2013-11-07 14:15,2013-11-07 14:25,2013-11-07 14:31
2013-11-11,M2.4,2013-11-11 11:01,2013-11-11 11:18,2013-11-11 11:30
2013-10-25,M2.3,2013-10-25 19:05,2013-10-25 19:21,2013-10-25 19:24
2013-10-26,M2.3,2013-10-26 05:59,2013-10-26 06:06,2013-10-26 06:20
2013-11-07,M2.3,2013-11-07 03:34,2013-11-07 03:40,2013-11-07 03:43
2013-11-08,M2.3,2013-11-08 09:22,2013-11-08 09:28,2013-11-08 09:31
2014-02-25,X4.9,2014-02-25 00:39,2014-02-25 00:49,2014-02-25 01:03
2014-10-24,X3.1,2014-10-24 21:07,2014-10-24 21:41,2014-10-24 22:13
2014-06-10,X2.2,2014-06-10 11:36,2014-06-10 11:42,2014-06-10 11:44
2014-10-26,X2,2014-10-26 10:04,2014-10-26 10:56,2014-10-26 11:18
2014-10-27,X2,2014-10-27 14:12,2014-10-27 14:47,2014-10-27 15:09
2014-12-20,X1.8,2014-12-20 00:11,2014-12-20 00:28,2014-12-20 00:55
2014-09-10,X1.6,2014-09-10 17:21,2014-09-10 17:45,2014-09-10 18:20
2014-10-22,X1.6,2014-10-22 14:02,2014-10-22 14:28,2014-10-22 14:50
2014-11-07,X1.6,2014-11-07 16:53,2014-11-07 17:26,2014-11-07 17:34
2014-06-10,X1.5,2014-06-10 12:36,2014-06-10 12:52,2014-06-10 13:03
2014-04-25,X1.3,2014-04-25 00:17,2014-04-25 00:27,2014-04-25 00:38
