sza,lat,fmax,dt,lt
126.65,47.6,1.2e-06,840.0,3.6666666666666665
137.16,62.5,4.9000000000000005e-06,1260.0,1.4
91.44,69.1,1e-06,480.0,10.316666666666666
134.29,47.6,1e-06,180.0,20.7
90.42,68.3,1.2e-06,300.0,14.783333333333333
143.83,47.6,1.1e-06,480.0,21.75
126.02,54.6,2.1e-06,180.0,20.533333333333335
141.98,54.6,2.4999999999999998e-06,240.0,2.0
108.77,47.6,2.4999999999999998e-06,300.0,5.5
134.27,47.6,2e-06,120.0,20.683333333333334
108.05,49.32,1.2e-06,840.0,17.983333333333334
149.33,47.6,1.2e-06,480.0,22.483333333333334
106.16,47.6,1.1e-06,780.0,5.783333333333333
139.09,62.5,1.2e-06,360.0,23.516666666666666
132.06,62.5,1.6e-06,60.0,21.866666666666667
136.93,62.5,1.8999999999999998e-06,60.0,23.216666666666665
89.52,62.5,1.3e-06,60.0,10.3
135.59,62.5,2.2e-06,120.0,23.083333333333332
102.93,82.52,3.2000000000000005e-05,5460.0,11.083333333333334
120.36,52.2,7.099999999999999e-06,480.0,20.95
129.72,52.2,3.3999999999999996e-06,600.0,22.0
88.03,68.3,2e-06,180.0,13.883333333333333
123.44,68.3,1.4e-06,360.0,5.0
68.52,49.92,0.00017,60.0,12.616666666666667
70.99,49.32,0.00017,180.0,10.616666666666667
95.6,69.1,1e-06,60.0,8.566666666666666
78.41,56.3,1e-06,300.0,10.566666666666666
122.62,62.5,5.0999999999999995e-06,180.0,4.016666666666667
122.42,62.5,5.0999999999999995e-06,60.0,4.05
129.16,62.5,1.1e-06,600.0,2.55
114.15,62.5,1e-06,420.0,5.266666666666667
87.03,62.5,3.2999999999999997e-06,600.0,8.25
82.89,68.3,3.3e-05,1080.0,10.766666666666667
63.32,56.3,3.3e-05,120.0,12.766666666666667
66.38,54.6,3.3e-05,60.0,10.766666666666667
58.62,49.92,3.3e-05,120.0,11.766666666666667
114.72,62.5,2e-05,2100.0,3.8666666666666667
112.97,49.32,0.00011000000000000002,2100.0,20.083333333333332
122.0,62.5,2.6e-06,120.0,23.833333333333332
111.61,62.5,2.8e-06,240.0,4.283333333333333
56.53,49.92,2.7e-06,120.0,13.766666666666667
65.86,54.6,1.8e-06,480.0,14.933333333333334
68.11,49.92,1.8e-06,120.0,15.933333333333334
75.96,68.3,1e-05,480.0,15.883333333333333
76.23,62.5,1e-05,480.0,15.883333333333333
71.5,54.6,1e-05,840.0,15.883333333333333
75.8,49.92,1e-05,60.0,16.883333333333333
85.03,82.52,2.8e-05,780.0,11.35
90.48,68.3,2.8e-05,840.0,9.35
81.47,62.5,2.8e-05,780.0,9.35
68.56,49.92,2.8e-05,600.0,10.35
50.05,47.6,2.8e-05,360.0,12.85
83.92,68.3,1.1e-06,60.0,19.566666666666666
96.63,68.3,1.1e-06,180.0,8.166666666666666
89.04,62.5,1.1e-06,240.0,8.166666666666666
77.98,68.3,1.8e-06,1200.0,11.633333333333333
61.58,54.6,1.8e-06,1020.0,11.633333333333333
57.57,52.2,1.8e-06,1200.0,11.633333333333333
53.55,49.92,1.8e-06,1260.0,12.633333333333333
64.21,62.5,1.4e-06,420.0,15.966666666666667
66.56,62.5,3.1e-06,240.0,10.4
83.25,49.92,1.8e-06,420.0,19.766666666666666
49.55,54.6,1.7e-05,960.0,11.666666666666666
45.49,52.2,1.7e-05,420.0,11.666666666666666
41.42,49.92,1.7e-05,1140.0,12.666666666666666
75.75,62.5,1.8e-06,180.0,8.083333333333334
72.89,62.5,1.1e-06,1140.0,8.233333333333333
48.54,62.5,1.1e-06,60.0,14.216666666666667
100.08,62.5,2.4e-06,180.0,3.283333333333333
95.74,62.5,5.6e-06,120.0,4.433333333333334
82.06,49.92,1.6e-06,60.0,20.083333333333332
89.34,54.6,1.8999999999999998e-06,120.0,21.033333333333335
100.4,62.5,2e-06,540.0,0.65
108.24,54.6,2e-06,960.0,0.65
45.51,54.6,2.8e-06,120.0,11.35
37.55,52.2,3.3999999999999996e-06,360.0,12.116666666666667
39.96,54.6,3.7e-06,60.0,12.466666666666667
36.48,52.2,3.7e-06,60.0,12.466666666666667
55.78,52.2,1.6e-06,60.0,16.75
58.13,52.2,1.3000000000000001e-05,60.0,17.016666666666666
62.11,49.92,1.3000000000000001e-05,120.0,18.016666666666666
83.19,49.92,2e-06,480.0,20.25
102.95,49.92,1.2e-06,120.0,22.7
113.09,49.92,1.3e-06,180.0,1.3333333333333333
45.0,54.6,7.4e-06,420.0,11.35
40.73,52.2,7.4e-06,360.0,11.35
36.25,49.92,7.4e-06,300.0,12.35
38.43,47.6,7.4e-06,480.0,14.85
104.34,52.2,1.6999999999999998e-06,180.0,3.4
41.64,47.6,1.4e-05,120.0,10.633333333333333
59.14,47.6,1.5e-06,240.0,17.15
81.17,52.2,4.7000000000000004e-05,180.0,6.533333333333333
70.67,62.5,1.8e-05,300.0,8.133333333333333
66.65,52.2,1.8e-05,60.0,8.133333333333333
41.86,52.2,4.1e-05,60.0,15.083333333333334
34.73,49.32,4.1e-05,60.0,14.083333333333334
48.81,62.5,6.099999999999999e-06,180.0,11.633333333333333
76.98,47.6,2.4999999999999998e-06,660.0,6.85
54.96,69.1,1.3e-06,600.0,15.533333333333333
49.2,68.3,1.3e-06,660.0,15.533333333333333
56.11,52.2,1.3e-06,1140.0,17.05
60.24,49.92,1.3e-06,960.0,18.05
